date,series,value
2013-10-28,TP.DK.EUR.A,2.7398
2013-10-29,TP.DK.EUR.A,
2013-10-30,TP.DK.EUR.A,2.7398
2013-10-31,TP.DK.EUR.A,2.7361
2013-11-01,TP.DK.EUR.A,2.72
2013-11-02,TP.DK.EUR.A,
2013-11-03,TP.DK.EUR.A,
2013-11-04,TP.DK.EUR.A,2.7128
2013-11-05,TP.DK.EUR.A,2.7254
2013-11-06,TP.DK.EUR.A,2.7303
2013-11-07,TP.DK.EUR.A,2.7374
2013-11-08,TP.DK.EUR.A,2.7384
2013-11-09,TP.DK.EUR.A,
2013-11-10,TP.DK.EUR.A,
2013-11-11,TP.DK.EUR.A,2.7197
2013-11-12,TP.DK.EUR.A,2.7262
2013-11-13,TP.DK.EUR.A,2.7461
2013-11-14,TP.DK.EUR.A,2.7539
2013-11-15,TP.DK.EUR.A,2.7486
2013-11-16,TP.DK.EUR.A,
2013-11-17,TP.DK.EUR.A,
2013-11-18,TP.DK.EUR.A,2.741
2013-11-19,TP.DK.EUR.A,2.7293
2013-11-20,TP.DK.EUR.A,2.7242
2013-11-21,TP.DK.EUR.A,2.719
2013-11-22,TP.DK.EUR.A,2.7123
2013-11-23,TP.DK.EUR.A,
2013-11-24,TP.DK.EUR.A,
2013-11-25,TP.DK.EUR.A,2.7255
2013-11-26,TP.DK.EUR.A,2.6995
2013-11-27,TP.DK.EUR.A,2.7193
2013-11-28,TP.DK.EUR.A,2.7398
2013-11-29,TP.DK.EUR.A,2.7423
2013-11-30,TP.DK.EUR.A,
2013-12-01,TP.DK.EUR.A,
2013-12-02,TP.DK.EUR.A,2.7454
2013-12-03,TP.DK.EUR.A,2.7495
2013-12-04,TP.DK.EUR.A,2.7629
2013-12-05,TP.DK.EUR.A,2.779
2013-12-06,TP.DK.EUR.A,2.7846
2013-12-07,TP.DK.EUR.A,
2013-12-08,TP.DK.EUR.A,
2013-12-09,TP.DK.EUR.A,2.7866
2013-12-10,TP.DK.EUR.A,2.7864
2013-12-11,TP.DK.EUR.A,2.786
2013-12-12,TP.DK.EUR.A,2.7932
2013-12-13,TP.DK.EUR.A,2.8064
2013-12-14,TP.DK.EUR.A,
2013-12-15,TP.DK.EUR.A,
2013-12-16,TP.DK.EUR.A,2.8031
2013-12-17,TP.DK.EUR.A,2.8016
2013-12-18,TP.DK.EUR.A,2.8042
2013-12-19,TP.DK.EUR.A,2.8086
2013-12-20,TP.DK.EUR.A,2.8188
2013-12-21,TP.DK.EUR.A,
2013-12-22,TP.DK.EUR.A,
2013-12-23,TP.DK.EUR.A,2.8505
2013-12-24,TP.DK.EUR.A,2.8573
2013-12-25,TP.DK.EUR.A,2.8466
2013-12-26,TP.DK.EUR.A,2.8353
2013-12-27,TP.DK.EUR.A,2.8693
2013-12-28,TP.DK.EUR.A,
2013-12-29,TP.DK.EUR.A,
2013-12-30,TP.DK.EUR.A,2.9844
2013-12-31,TP.DK.EUR.A,2.9365
2014-01-01,TP.DK.EUR.A,
2014-01-02,TP.DK.EUR.A,2.9344
2014-01-03,TP.DK.EUR.A,2.9744
2014-01-04,TP.DK.EUR.A,
2014-01-05,TP.DK.EUR.A,
2014-01-06,TP.DK.EUR.A,2.9587
2014-01-07,TP.DK.EUR.A,2.9767
2014-01-08,TP.DK.EUR.A,2.9613
2014-01-09,TP.DK.EUR.A,2.9575
2014-01-10,TP.DK.EUR.A,2.9732
2014-01-11,TP.DK.EUR.A,
2014-01-12,TP.DK.EUR.A,
2014-01-13,TP.DK.EUR.A,2.9586
2014-01-14,TP.DK.EUR.A,2.9671
2014-01-15,TP.DK.EUR.A,2.9969
2014-01-16,TP.DK.EUR.A,2.9834
2014-01-17,TP.DK.EUR.A,3.0025
2014-01-18,TP.DK.EUR.A,
2014-01-19,TP.DK.EUR.A,
2014-01-20,TP.DK.EUR.A,3.0023
2014-01-21,TP.DK.EUR.A,3.0337
2014-01-22,TP.DK.EUR.A,3.033
2014-01-23,TP.DK.EUR.A,3.0557
2014-01-24,TP.DK.EUR.A,3.0997
2014-01-25,TP.DK.EUR.A,
2014-01-26,TP.DK.EUR.A,
2014-01-27,TP.DK.EUR.A,3.1694
2014-01-28,TP.DK.EUR.A,3.2053
2014-01-29,TP.DK.EUR.A,3.0934
2014-01-30,TP.DK.EUR.A,3.0362
2014-01-31,TP.DK.EUR.A,3.1003
2014-02-01,TP.DK.EUR.A,
2014-02-02,TP.DK.EUR.A,
2014-02-03,TP.DK.EUR.A,3.0726
2014-02-04,TP.DK.EUR.A,3.0557
2014-02-05,TP.DK.EUR.A,3.0492
2014-02-06,TP.DK.EUR.A,3.0271
2014-02-07,TP.DK.EUR.A,3.0078
2014-02-08,TP.DK.EUR.A,
2014-02-09,TP.DK.EUR.A,
2014-02-10,TP.DK.EUR.A,3.0094
2014-02-11,TP.DK.EUR.A,3.034
2014-02-12,TP.DK.EUR.A,3.0111
2014-02-13,TP.DK.EUR.A,2.9857
2014-02-14,TP.DK.EUR.A,3.0062
2014-02-15,TP.DK.EUR.A,
2014-02-16,TP.DK.EUR.A,
2014-02-17,TP.DK.EUR.A,2.992
2014-02-18,TP.DK.EUR.A,2.9891
2014-02-19,TP.DK.EUR.A,2.9905
2014-02-20,TP.DK.EUR.A,3.009
2014-02-21,TP.DK.EUR.A,3.0249
2014-02-22,TP.DK.EUR.A,
2014-02-23,TP.DK.EUR.A,
2014-02-24,TP.DK.EUR.A,3.012
2014-02-25,TP.DK.EUR.A,2.9967
2014-02-26,TP.DK.EUR.A,3.0319
